report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,full_address
20201564,2020-03-02 15:08:00,517,1200, ,33RD,STREET, , , ,21950B,VC,PED IN CROSSWALK: STOP/DELAY VEHICLES OR SUDDENLY LEAVE PLACE OF SAFETY (I),2,0,,"1200   33RD STREET San Diego, California"
20201580,2020-03-02 16:10:00,823,5900, ,UNIVERSITY,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,"5900   UNIVERSITY AVENUE San Diego, California"
20201566,2020-03-02 17:20:00,627,900, ,WASHINGTON,STREET, , , ,20002(A),VC,HIT AND RUN:PROP DAMAGE (M),0,0,MISDEMEANOR,"900   WASHINGTON STREET San Diego, California"
20201567,2020-03-02 17:36:00,323,6200, ,WENRICH,DRIVE, , , ,22106,VC,UNSAFE START ON HWY (I),0,0,,"6200   WENRICH DRIVE San Diego, California"
20201568,2020-03-02 18:37:00,446,300, ,EUCLID,AVENUE, , , ,20003(A),VC,FAILURE TO PROVIDE INFO:INJ ACCIDENT (M),0,0,MISDEMEANOR,"300   EUCLID AVENUE San Diego, California"
20201570,2020-03-02 19:20:08,122,4400, ,BOND,STREET, , , ,21950A,VC,RIGHT-OF-WAY:DRVR YIELD TO PEDESTRIAN IN CROSSWALK (I),1,0,,"4400   BOND STREET San Diego, California"
20201569,2020-03-02 19:23:45,714,700,E,SAN YSIDRO,BOULEVARD, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"700 E SAN YSIDRO BOULEVARD San Diego, California"
20201571,2020-03-02 19:33:00,628,3400, ,STATE,STREET, , , ,22106,VC,UNSAFE START ON HWY (I),0,0,MISDEMEANOR,"3400   STATE STREET San Diego, California"
20201584,2020-03-02 20:00:00,725,5000, ,OCEAN VIEW HILLS,PARKWAY, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,MISDEMEANOR,"5000   OCEAN VIEW HILLS PARKWAY San Diego, California"
20013089,2020-03-02 21:22:51,511,1200,S,27TH,STREET, , , ,23152A,VC,DUI ALCOHOL (M),0,0,,"1200 S 27TH STREET San Diego, California"
20013091,2020-03-02 21:35:00,112,3200, ,MOUNT ACADIA,BOULEVARD, , , ,23152A,VC,DUI ALCOHOL (M),1,0,,"3200   MOUNT ACADIA BOULEVARD San Diego, California"
